Log file created at  2020-11-24 14:23:37
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='PAC_Bayes_variational_role', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Shuffled_Pixels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='FcNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/ShuffledPixels200_TasksN/10', run_name='ShuffledPixels200_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-FcNet3
---- Meta-Training set: 10 tasks
(15.0%)	Epoch: 7 	 Batch: 150 	 Objective: 1.155 	  Acc: 0.968	 Empiric-Loss: 0.09943	 Task-Comp. 0.2272	 Meta-Comp.: 0.8282
(15.4%)	Epoch: 7 	 Batch: 200 	 Objective: 1.142 	  Acc: 0.978	 Empiric-Loss: 0.0891	 Task-Comp. 0.2255	 Meta-Comp.: 0.8273
(15.7%)	Epoch: 7 	 Batch: 250 	 Objective: 1.116 	  Acc: 0.977	 Empiric-Loss: 0.06602	 Task-Comp. 0.2236	 Meta-Comp.: 0.8264
(16.0%)	Epoch: 8 	 Batch: 0 	 Objective: 1.129 	  Acc: 0.976	 Empiric-Loss: 0.07559	 Task-Comp. 0.2277	 Meta-Comp.: 0.8256
(16.3%)	Epoch: 8 	 Batch: 50 	 Objective: 1.108 	  Acc: 0.979	 Empiric-Loss: 0.05845	 Task-Comp. 0.2248	 Meta-Comp.: 0.8247
(16.7%)	Epoch: 8 	 Batch: 100 	 Objective: 1.124 	  Acc: 0.978	 Empiric-Loss: 0.07667	 Task-Comp. 0.224	 Meta-Comp.: 0.8237
(17.0%)	Epoch: 8 	 Batch: 150 	 Objective: 1.123 	  Acc: 0.975	 Empiric-Loss: 0.07945	 Task-Comp. 0.2204	 Meta-Comp.: 0.8228
(17.4%)	Epoch: 8 	 Batch: 200 	 Objective: 1.101 	  Acc: 0.979	 Empiric-Loss: 0.0607	 Task-Comp. 0.2183	 Meta-Comp.: 0.8218
(17.7%)	Epoch: 8 	 Batch: 250 	 Objective: 1.088 	  Acc: 0.981	 Empiric-Loss: 0.05144	 Task-Comp. 0.2152	 Meta-Comp.: 0.8209
(18.0%)	Epoch: 9 	 Batch: 0 	 Objective: 1.124 	  Acc: 0.974	 Empiric-Loss: 0.08109	 Task-Comp. 0.2233	 Meta-Comp.: 0.82
(18.3%)	Epoch: 9 	 Batch: 50 	 Objective: 1.092 	  Acc: 0.981	 Empiric-Loss: 0.05622	 Task-Comp. 0.217	 Meta-Comp.: 0.8189
(18.7%)	Epoch: 9 	 Batch: 100 	 Objective: 1.114 	  Acc: 0.973	 Empiric-Loss: 0.08103	 Task-Comp. 0.2155	 Meta-Comp.: 0.818
(19.0%)	Epoch: 9 	 Batch: 150 	 Objective: 1.093 	  Acc: 0.978	 Empiric-Loss: 0.06625	 Task-Comp. 0.2099	 Meta-Comp.: 0.817
(19.4%)	Epoch: 9 	 Batch: 200 	 Objective: 1.104 	  Acc: 0.972	 Empiric-Loss: 0.07781	 Task-Comp. 0.2106	 Meta-Comp.: 0.8159
(19.7%)	Epoch: 9 	 Batch: 250 	 Objective: 1.096 	  Acc: 0.975	 Empiric-Loss: 0.0734	 Task-Comp. 0.2077	 Meta-Comp.: 0.8149
(20.0%)	Epoch: 10 	 Batch: 0 	 Objective: 1.093 	  Acc: 0.982	 Empiric-Loss: 0.06322	 Task-Comp. 0.216	 Meta-Comp.: 0.814
(20.3%)	Epoch: 10 	 Batch: 50 	 Objective: 1.075 	  Acc: 0.982	 Empiric-Loss: 0.05568	 Task-Comp. 0.2063	 Meta-Comp.: 0.8129
(20.7%)	Epoch: 10 	 Batch: 100 	 Objective: 1.056 	  Acc: 0.983	 Empiric-Loss: 0.04711	 Task-Comp. 0.1967	 Meta-Comp.: 0.8119
(21.0%)	Epoch: 10 	 Batch: 150 	 Objective: 1.088 	  Acc: 0.975	 Empiric-Loss: 0.07622	 Task-Comp. 0.2008	 Meta-Comp.: 0.8108
(21.4%)	Epoch: 10 	 Batch: 200 	 Objective: 1.062 	  Acc: 0.983	 Empiric-Loss: 0.05711	 Task-Comp. 0.1955	 Meta-Comp.: 0.8097
(21.7%)	Epoch: 10 	 Batch: 250 	 Objective: 1.061 	  Acc: 0.98	 Empiric-Loss: 0.0565	 Task-Comp. 0.1961	 Meta-Comp.: 0.8087
(22.0%)	Epoch: 11 	 Batch: 0 	 Objective: 1.064 	  Acc: 0.98	 Empiric-Loss: 0.05497	 Task-Comp. 0.2009	 Meta-Comp.: 0.8077
