Log file created at  2020-11-25 09:30:43
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Permute_Labels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='ConvNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/PermutedLabels_TasksN/10', run_name='PermutedLabels_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-ConvNet3
---- Meta-Training set: 10 tasks
(6.3%)	Epoch: 3 	 Batch: 50 	 Objective: 1.394 	  Acc: 0.923	 Empiric-Loss: 0.2761	 Task-Comp. 0.2859	 Meta-Comp.: 0.5559
(8.7%)	Epoch: 4 	 Batch: 100 	 Objective: 1.007 	  Acc: 0.947	 Empiric-Loss: 0.1889	 Task-Comp. 0.2631	 Meta-Comp.: 0.5549
(6.0%)	Epoch: 3 	 Batch: 0 	 Objective: 2.937 	  Acc: 0.219	 Empiric-Loss: 2.207	 Task-Comp. 0.1747	 Meta-Comp.: 0.5561
(7.4%)	Epoch: 3 	 Batch: 200 	 Objective: 1.099 	  Acc: 0.931	 Empiric-Loss: 0.2333	 Task-Comp. 0.3109	 Meta-Comp.: 0.5551
(5.7%)	Epoch: 2 	 Batch: 250 	 Objective: 3.021 	  Acc: 0.113	 Empiric-Loss: 2.3	 Task-Comp. 0.1651	 Meta-Comp.: 0.5562
(6.7%)	Epoch: 3 	 Batch: 100 	 Objective: 1.361 	  Acc: 0.923	 Empiric-Loss: 0.2644	 Task-Comp. 0.2758	 Meta-Comp.: 0.5559
(9.0%)	Epoch: 4 	 Batch: 150 	 Objective: 0.9976 	  Acc: 0.949	 Empiric-Loss: 0.1909	 Task-Comp. 0.2517	 Meta-Comp.: 0.5549
(6.3%)	Epoch: 3 	 Batch: 50 	 Objective: 2.729 	  Acc: 0.342	 Empiric-Loss: 1.88	 Task-Comp. 0.2932	 Meta-Comp.: 0.5561
(6.0%)	Epoch: 3 	 Batch: 0 	 Objective: 3.024 	  Acc: 0.12	 Empiric-Loss: 2.299	 Task-Comp. 0.1689	 Meta-Comp.: 0.5562
(7.7%)	Epoch: 3 	 Batch: 250 	 Objective: 1.058 	  Acc: 0.941	 Empiric-Loss: 0.2169	 Task-Comp. 0.2862	 Meta-Comp.: 0.555
(7.0%)	Epoch: 3 	 Batch: 150 	 Objective: 1.255 	  Acc: 0.939	 Empiric-Loss: 0.2154	 Task-Comp. 0.2685	 Meta-Comp.: 0.5559
(9.4%)	Epoch: 4 	 Batch: 200 	 Objective: 0.9745 	  Acc: 0.953	 Empiric-Loss: 0.1751	 Task-Comp. 0.2445	 Meta-Comp.: 0.5549
(8.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.062 	  Acc: 0.934	 Empiric-Loss: 0.222	 Task-Comp. 0.2849	 Meta-Comp.: 0.555
(6.7%)	Epoch: 3 	 Batch: 100 	 Objective: 2.229 	  Acc: 0.628	 Empiric-Loss: 1.146	 Task-Comp. 0.5263	 Meta-Comp.: 0.5561
(6.3%)	Epoch: 3 	 Batch: 50 	 Objective: 3.017 	  Acc: 0.15	 Empiric-Loss: 2.296	 Task-Comp. 0.1648	 Meta-Comp.: 0.5561
(7.4%)	Epoch: 3 	 Batch: 200 	 Objective: 1.29 	  Acc: 0.938	 Empiric-Loss: 0.2373	 Task-Comp. 0.2599	 Meta-Comp.: 0.5559
(9.7%)	Epoch: 4 	 Batch: 250 	 Objective: 0.9639 	  Acc: 0.953	 Empiric-Loss: 0.1757	 Task-Comp. 0.2333	 Meta-Comp.: 0.5549
(8.3%)	Epoch: 4 	 Batch: 50 	 Objective: 1.067 	  Acc: 0.934	 Empiric-Loss: 0.237	 Task-Comp. 0.2753	 Meta-Comp.: 0.555
(7.0%)	Epoch: 3 	 Batch: 150 	 Objective: 1.776 	  Acc: 0.771	 Empiric-Loss: 0.7841	 Task-Comp. 0.4361	 Meta-Comp.: 0.5561
(6.7%)	Epoch: 3 	 Batch: 100 	 Objective: 3.011 	  Acc: 0.165	 Empiric-Loss: 2.29	 Task-Comp. 0.165	 Meta-Comp.: 0.5561
(7.7%)	Epoch: 3 	 Batch: 250 	 Objective: 1.217 	  Acc: 0.937	 Empiric-Loss: 0.2078	 Task-Comp. 0.2451	 Meta-Comp.: 0.5558
(10.0%)	Epoch: 5 	 Batch: 0 	 Objective: 0.9408 	  Acc: 0.956	 Empiric-Loss: 0.1575	 Task-Comp. 0.2285	 Meta-Comp.: 0.5549
(8.7%)	Epoch: 4 	 Batch: 100 	 Objective: 1.007 	  Acc: 0.948	 Empiric-Loss: 0.189	 Task-Comp. 0.2632	 Meta-Comp.: 0.5549
(7.4%)	Epoch: 3 	 Batch: 200 	 Objective: 1.574 	  Acc: 0.804	 Empiric-Loss: 0.6508	 Task-Comp. 0.3676	 Meta-Comp.: 0.5561
(7.0%)	Epoch: 3 	 Batch: 150 	 Objective: 2.985 	  Acc: 0.225	 Empiric-Loss: 2.263	 Task-Comp. 0.1658	 Meta-Comp.: 0.5561
(8.0%)	Epoch: 4 	 Batch: 0 	 Objective: 1.302 	  Acc: 0.927	 Empiric-Loss: 0.2498	 Task-Comp. 0.247	 Meta-Comp.: 0.5558
(10.3%)	Epoch: 5 	 Batch: 50 	 Objective: 0.945 	  Acc: 0.947	 Empiric-Loss: 0.165	 Task-Comp. 0.2252	 Meta-Comp.: 0.5548
(9.0%)	Epoch: 4 	 Batch: 150 	 Objective: 0.9977 	  Acc: 0.949	 Empiric-Loss: 0.191	 Task-Comp. 0.2519	 Meta-Comp.: 0.5549
(7.4%)	Epoch: 3 	 Batch: 200 	 Objective: 2.892 	  Acc: 0.225	 Empiric-Loss: 2.149	 Task-Comp. 0.1876	 Meta-Comp.: 0.5561
(7.7%)	Epoch: 3 	 Batch: 250 	 Objective: 1.396 	  Acc: 0.849	 Empiric-Loss: 0.5278	 Task-Comp. 0.3125	 Meta-Comp.: 0.5561
(8.3%)	Epoch: 4 	 Batch: 50 	 Objective: 1.262 	  Acc: 0.928	 Empiric-Loss: 0.2345	 Task-Comp. 0.2368	 Meta-Comp.: 0.5558
